db_index,method,ratio,result,time,error,timeperformance,lam_1,lam_01,lam_001
0,random,0.3,1199.0,9.66,6202.23276642,0.345,6202.57776642,6202.26726642,6202.23621642
0,random,0.4,9040.0,10.05,33239.0529287,0.358928571429,33239.4118573,33239.0888215,33239.056518
0,random,0.5,42976.0,10.58,19815.1789315,0.377857142857,19815.5567886,19815.2167172,19815.18271
0,random,0.6,155488.0,12.72,79371.59713,0.454285714286,79372.0514157,79371.6425586,79371.6016729
0,random,0.7,452883.0,13.29,35724.272505,0.474642857143,35724.7471478,35724.3199693,35724.2772514
0,random,0.8,1142904.0,16.42,7857.37123363,0.586428571429,7857.95766221,7857.42987649,7857.37709792
0,random,0.9,2602160.0,17.93,12701.6294486,0.640357142857,12702.2698058,12701.6934843,12701.6358522
1,random,0.3,1229.0,8.69,187002.455321,0.321851851852,187002.777173,187002.487506,187002.45854
1,random,0.4,8887.0,9.62,2390.01389632,0.356296296296,2390.37019262,2390.04952595,2390.01745929
1,random,0.5,43120.0,10.24,95230.7655325,0.379259259259,95231.1447918,95230.8034584,95230.7693251
1,random,0.6,151366.0,11.17,9998.45234884,0.413703703704,9998.86605254,9998.49371921,9998.45648587
1,random,0.7,444668.0,12.11,6604.48575627,0.448518518519,6604.93427479,6604.53060813,6604.49024146
1,random,0.8,1137598.0,13.7,23998.7810607,0.507407407407,23999.2884681,23998.8318014,23998.7861347
1,random,0.9,2588481.0,14.91,15839.873396,0.552222222222,15840.4256183,15839.9286183,15839.8789183
2,random,0.3,1195.0,8.13,57731.7421552,0.312692307692,57732.0548475,57731.7734245,57731.7452822
2,random,0.4,8981.0,9.31,79561.0140877,0.358076923077,79561.3721646,79561.0498954,79561.0176684
2,random,0.5,42659.0,8.87,61580.8528722,0.341153846154,61581.1940261,61580.8869876,61580.8562838
2,random,0.6,152851.0,9.75,67748.8624198,0.375,67749.2374198,67748.8999198,67748.8661698
2,random,0.7,443353.0,11.13,2458.33078499,0.428076923077,2458.75886191,2458.37359268,2458.33506576
2,random,0.8,1137384.0,11.22,47959.5731057,0.431538461538,47960.0046442,47959.6162596,47959.5774211
2,random,0.9,2578863.0,12.73,20737.3717044,0.489615384615,20737.8613198,20737.4206659,20737.3766005
